l1,l2,e1,e2
0.12412308673469388,0,0.2239716198979592,0
0.02841996173469388,0,0.26430963010204084,0
0.07027264030612244,0,0.17289142219387754,0
0.016322544642857144,0,0.287288743622449,0
0.0,0,0.11806441326530612,0
5.978954081632653e-05,0,0.16452088647959184,0
0.017458545918367346,0,0.21520248724489796,0
0.016880580357142856,0,0.17598054846938777,0
0.015286192602040817,0,0.18753985969387754,0
0.030970982142857144,0,0.20236766581632654,0
0.00390625,0,0.19999601403061223,0
0.0215640943877551,0,0.23915816326530612,0
0.0036073022959183672,0,0.205078125,0
0.018176020408163265,0,0.2614596619897959,0
0.003667091836734694,0,0.21316964285714285,0
0.014787946428571428,0,0.26680086096938777,0
0.0033681441326530613,0,0.21940768494897958,0
0.011459661989795918,0,0.2700892857142857,0
0.0030891262755102043,0,0.2195671237244898,0
0.008310746173469387,0,0.27291932397959184,0
